ID,LIMIT_BAL,SEX,EDUCATION,MARITAL_STATUS,AGE,INSTALLMENT_1,INSTALLMENT_2,INSTALLMENT_3,INSTALLMENT_AMT_1,INSTALLMENT_AMT_2,INSTALLMENT_AMT_3,INSTALLMENT_PAID_1,INSTALLMENT_PAID_2,INSTALLMENT_PAID_3,DEFAULT.PAYMENT.NEXT.MONTH
13054,290000.0,MALE,university,MARRIED,40,0,0,0,273270.0,272944.0,286497.0,12022.0,24000.0,3.0,0
29660,50000.0,MALE,university,MARRIED,37,0,0,0,44270.0,42398.0,44346.0,5000.0,3000.0,5000.0,0
11171,130000.0,FEMALE,university,SINGLE,24,2,2,-1,1176.0,0.0,41.0,0.0,41.0,1021.0,1
18654,90000.0,FEMALE,graduate school,SINGLE,29,0,0,0,84515.0,85777.0,86778.0,4200.0,4000.0,3100.0,0
5621,150000.0,FEMALE,university,MARRIED,33,0,0,0,37794.0,39240.0,40653.0,2000.0,2000.0,1500.0,0
23093,470000.0,FEMALE,university,SINGLE,33,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,1
850,80000.0,FEMALE,high school,MARRIED,57,-1,2,-1,726.0,726.0,15400.0,0.0,15400.0,0.0,0
1594,240000.0,MALE,graduate school,SINGLE,35,-2,-2,-2,15432.0,10835.0,22134.0,10851.0,22258.0,20076.0,0
1416,60000.0,FEMALE,graduate school,SINGLE,25,0,0,0,57174.0,58559.0,60586.0,3000.0,3800.0,3300.0,0
17738,40000.0,FEMALE,university,MARRIED,53,0,0,2,4621.0,6527.0,7776.0,2150.0,1500.0,0.0,1
19005,360000.0,FEMALE,university,SINGLE,30,0,0,-1,82195.0,99961.0,7968.0,20500.0,8007.0,1825.0,0
23050,200000.0,FEMALE,graduate school,MARRIED,41,1,-1,0,2217.0,61328.0,2877.0,61634.0,2877.0,160944.0,1
17091,130000.0,FEMALE,university,SINGLE,25,0,0,0,111587.0,112348.0,114734.0,4100.0,4200.0,5000.0,0
21676,120000.0,FEMALE,university,SINGLE,25,0,0,2,46953.0,48670.0,49587.0,2500.0,2000.0,2500.0,0
5771,180000.0,MALE,university,MARRIED,38,1,2,2,2826.0,4612.0,4571.0,2000.0,200.0,500.0,1
12185,70000.0,FEMALE,university,MARRIED,32,0,0,0,67417.0,63334.0,61578.0,2303.0,2400.0,2500.0,0
3475,30000.0,FEMALE,university,MARRIED,22,0,0,0,16534.0,17213.0,17723.0,2002.0,1553.0,1002.0,0
4171,140000.0,MALE,graduate school,SINGLE,27,-1,-1,-1,13497.0,15680.0,3400.0,15688.0,4000.0,3218.0,0
1448,20000.0,FEMALE,university,SINGLE,23,-1,-1,-1,7186.0,3478.0,137.0,8060.0,137.0,5199.0,0
13004,280000.0,MALE,university,MARRIED,25,-1,-1,0,3863.0,84601.0,67765.0,89295.0,2192.0,1899.0,0
9363,340000.0,MALE,university,MARRIED,42,0,0,0,76166.0,83909.0,169911.0,10000.0,115000.0,5000.0,0
18745,220000.0,FEMALE,university,SINGLE,29,0,0,0,217345.0,100501.0,74430.0,4030.0,4000.0,4492.0,0
27794,420000.0,FEMALE,high school,SINGLE,25,2,2,2,68394.0,72874.0,71035.0,5620.0,0.0,2000.0,0
17157,420000.0,FEMALE,university,SINGLE,26,-2,-2,-2,62364.0,30165.0,106030.0,30336.0,107382.0,33850.0,0
16025,100000.0,FEMALE,high school,SINGLE,32,0,0,0,79158.0,93667.0,58161.0,23591.0,2116.0,1400.0,0
20645,130000.0,MALE,graduate school,MARRIED,42,-1,2,-1,390.0,390.0,955.0,0.0,955.0,1170.0,1
10702,50000.0,FEMALE,university,MARRIED,31,2,2,2,26441.0,28297.0,29532.0,2600.0,2000.0,0.0,1
10572,100000.0,FEMALE,high school,SINGLE,41,-1,-1,-1,7432.0,1633.0,2043.0,1633.0,2043.0,4830.0,1
11363,60000.0,FEMALE,university,SINGLE,24,1,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0
17183,130000.0,FEMALE,high school,MARRIED,28,0,0,0,29974.0,28037.0,37414.0,5026.0,15430.0,12015.0,0
28823,590000.0,FEMALE,high school,MARRIED,39,0,0,0,128659.0,128715.0,127961.0,5025.0,5693.0,6007.0,0
14663,400000.0,FEMALE,graduate school,SINGLE,33,-1,-1,-1,7768.0,31313.0,8744.0,31330.0,8853.0,11816.0,0
22659,140000.0,FEMALE,high school,MARRIED,37,-1,-1,-1,1208.0,4411.0,3957.0,4411.0,3957.0,5241.0,0
5451,30000.0,MALE,university,SINGLE,49,-1,-1,-1,1659.0,1473.0,390.0,1473.0,390.0,390.0,0
9509,100000.0,FEMALE,university,MARRIED,45,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0
7552,200000.0,MALE,high school,MARRIED,44,0,0,0,69106.0,70393.0,73220.0,3000.0,4000.0,3000.0,0
29808,50000.0,MALE,university,MARRIED,34,0,0,0,43389.0,44381.0,45942.0,1717.0,2278.0,1279.0,0
19079,50000.0,FEMALE,high school,SINGLE,45,0,0,0,3740.0,4382.0,5008.0,1100.0,1091.0,1100.0,0
4548,200000.0,MALE,high school,SINGLE,28,0,0,0,54663.0,46147.0,44095.0,11000.0,3000.0,3000.0,0
10206,350000.0,FEMALE,graduate school,MARRIED,46,0,0,0,102060.0,86242.0,63012.0,10069.0,5631.0,20036.0,0
28887,200000.0,FEMALE,high school,MARRIED,42,-1,-1,-1,858.0,1406.0,3673.0,1406.0,3673.0,0.0,0
25605,50000.0,FEMALE,high school,MARRIED,39,2,2,2,31063.0,32051.0,33239.0,1800.0,2000.0,1171.0,1
12455,210000.0,MALE,graduate school,SINGLE,41,0,-1,-1,62261.0,6615.0,0.0,6615.0,0.0,0.0,0
5436,240000.0,FEMALE,university,SINGLE,41,0,0,0,188983.0,190556.0,189914.0,7106.0,12014.0,6075.0,0
6801,20000.0,MALE,high school,MARRIED,50,2,2,2,15089.0,17037.0,17457.0,2200.0,1000.0,1000.0,1
19086,70000.0,FEMALE,graduate school,MARRIED,29,0,0,0,68494.0,68532.0,69475.0,3200.0,3300.0,3100.0,0
28631,260000.0,FEMALE,university,MARRIED,35,0,0,-1,9286.0,7926.0,33379.0,2036.0,33393.0,6094.0,0
4614,50000.0,MALE,university,SINGLE,39,0,0,0,47206.0,8464.0,9799.0,1500.0,1500.0,400.0,0
6130,20000.0,MALE,graduate school,SINGLE,33,2,0,0,16339.0,20650.0,0.0,5000.0,0.0,0.0,1
29917,330000.0,MALE,university,SINGLE,33,0,0,0,50999.0,50055.0,47398.0,2000.0,2007.0,2000.0,0
18185,50000.0,MALE,university,MARRIED,46,-1,-1,-1,4270.0,1600.0,3106.0,1600.0,3106.0,0.0,0
52,100000.0,FEMALE,high school,3,43,0,0,0,61559.0,51163.0,43824.0,2000.0,1606.0,1500.0,0
13350,390000.0,MALE,graduate school,MARRIED,38,0,0,0,30642.0,31843.0,32860.0,2000.0,1548.0,1199.0,0
4135,500000.0,FEMALE,university,MARRIED,27,0,0,0,174725.0,178556.0,182274.0,6630.0,6831.0,6500.0,0
2931,60000.0,FEMALE,university,SINGLE,25,0,0,0,50269.0,47809.0,42769.0,4749.0,1621.0,1400.0,0
4056,140000.0,FEMALE,university,SINGLE,35,0,0,0,88394.0,90252.0,92775.0,3280.0,4270.0,3500.0,0
17283,130000.0,FEMALE,high school,MARRIED,37,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,1
2688,500000.0,FEMALE,graduate school,MARRIED,44,-2,-1,0,71921.0,367979.0,294969.0,368199.0,6486.0,234.0,0
11189,350000.0,FEMALE,graduate school,MARRIED,32,0,0,0,67761.0,63187.0,58719.0,8007.0,2200.0,3000.0,0
16219,120000.0,FEMALE,graduate school,SINGLE,45,0,0,0,90041.0,86140.0,87941.0,3079.0,3185.0,3251.0,0
1348,630000.0,MALE,graduate school,SINGLE,40,0,0,0,440474.0,444370.0,455286.0,18000.0,20000.0,12000.0,0
11450,30000.0,MALE,university,SINGLE,26,0,0,0,26990.0,24706.0,25022.0,4900.0,2000.0,2100.0,0
6534,20000.0,MALE,university,SINGLE,27,0,-1,0,1955.0,2530.0,1845.0,2535.0,1205.0,3274.0,0
28789,220000.0,FEMALE,Unknown,MARRIED,32,0,0,0,84942.0,56366.0,4252.0,2500.0,1500.0,2000.0,0
2082,160000.0,FEMALE,graduate school,MARRIED,33,-1,-1,-1,7429.0,7165.0,1849.0,8000.0,2000.0,4755.0,0
5673,50000.0,FEMALE,graduate school,SINGLE,23,1,-1,0,-1971.0,50265.0,45397.0,53267.0,1835.0,3039.0,0
26525,90000.0,FEMALE,university,MARRIED,58,1,2,2,25941.0,25722.0,28015.0,500.0,3000.0,1000.0,1
18404,20000.0,FEMALE,high school,SINGLE,24,0,-1,0,1360.0,1301.0,2257.0,1301.0,1267.0,1648.0,0
3822,200000.0,FEMALE,graduate school,SINGLE,41,-2,-2,-2,5954.0,10464.0,7165.0,10464.0,7165.0,6966.0,0
7873,310000.0,FEMALE,graduate school,MARRIED,25,0,0,0,184538.0,153625.0,142810.0,5019.0,3872.0,3147.0,0
14265,70000.0,FEMALE,university,3,42,0,0,0,69486.0,68650.0,65458.0,3000.0,1604.0,1000.0,0
19036,50000.0,FEMALE,university,MARRIED,41,1,2,2,24540.0,25330.0,26620.0,1500.0,2000.0,1000.0,1
29520,100000.0,MALE,high school,SINGLE,48,0,0,0,58430.0,36846.0,35538.0,2000.0,2000.0,2000.0,0
27765,180000.0,FEMALE,university,MARRIED,24,0,0,-2,6272.0,0.0,0.0,0.0,0.0,1000.0,0
2360,300000.0,MALE,university,SINGLE,35,0,0,0,276536.0,206885.0,169901.0,26531.0,10017.0,9123.0,0
16984,50000.0,FEMALE,high school,SINGLE,22,0,0,0,18108.0,18512.0,19468.0,1400.0,1300.0,2800.0,0
440,80000.0,FEMALE,graduate school,SINGLE,23,0,0,0,77024.0,73281.0,57806.0,3212.0,1600.0,956.0,1
5783,360000.0,FEMALE,graduate school,MARRIED,31,-1,-1,-1,460.0,460.0,460.0,460.0,460.0,399.0,0
11475,50000.0,FEMALE,university,MARRIED,30,0,0,0,43334.0,41935.0,14854.0,1986.0,1040.0,1000.0,0
8326,200000.0,FEMALE,graduate school,SINGLE,32,0,0,0,47517.0,8219.0,9000.0,1219.0,1000.0,1000.0,0
17725,30000.0,FEMALE,high school,MARRIED,50,2,2,2,29468.0,29688.0,28919.0,1000.0,159.0,28426.0,1
11410,230000.0,FEMALE,university,MARRIED,38,-2,-2,-2,12696.0,9883.0,2035.0,9883.0,2035.0,6337.0,0
3743,280000.0,FEMALE,graduate school,MARRIED,34,-1,0,0,11584.0,12211.0,10247.0,7011.0,3000.0,0.0,1
18374,80000.0,FEMALE,university,SINGLE,23,1,-1,-1,-1678.0,75061.0,3647.0,78000.0,3647.0,0.0,0
20894,170000.0,MALE,graduate school,SINGLE,36,-1,-1,-1,37830.0,11160.0,4336.0,11376.0,4346.0,947.0,0
26023,220000.0,FEMALE,university,MARRIED,44,2,2,0,195375.0,185993.0,184568.0,10.0,8304.0,7356.0,0
16066,120000.0,FEMALE,university,MARRIED,46,0,0,0,80324.0,79071.0,76279.0,3458.0,2519.0,2158.0,0
14743,150000.0,MALE,graduate school,SINGLE,25,0,0,0,132684.0,128111.0,120509.0,5713.0,12137.0,9005.0,0
17682,300000.0,FEMALE,graduate school,MARRIED,47,-1,-1,-1,514.0,2392.0,148.0,2392.0,148.0,148.0,1
15556,20000.0,MALE,university,SINGLE,37,2,2,2,3254.0,2522.0,0.0,2000.0,0.0,780.0,1
28409,250000.0,FEMALE,graduate school,SINGLE,28,0,0,0,116861.0,109714.0,101494.0,5000.0,5000.0,3000.0,0
17395,200000.0,FEMALE,graduate school,MARRIED,37,-2,-2,-2,1324.0,0.0,0.0,0.0,0.0,0.0,0
4467,110000.0,MALE,high school,MARRIED,54,0,0,0,105449.0,107957.0,82407.0,4500.0,3786.0,2666.0,0
23372,320000.0,FEMALE,graduate school,SINGLE,39,0,0,0,91224.0,93025.0,99433.0,10000.0,10000.0,10000.0,0
5971,20000.0,FEMALE,graduate school,SINGLE,25,-1,0,0,15790.0,16906.0,17936.0,1372.0,1500.0,1000.0,1
28057,60000.0,FEMALE,graduate school,SINGLE,33,1,2,0,11776.0,11295.0,12799.0,0.0,2000.0,2000.0,0
18511,50000.0,FEMALE,university,MARRIED,23,0,0,0,40544.0,41098.0,28383.0,2000.0,1500.0,1432.0,0
2154,150000.0,MALE,graduate school,SINGLE,25,0,0,0,52952.0,95134.0,31578.0,60086.0,2000.0,2000.0,0
13454,20000.0,MALE,university,SINGLE,29,0,0,0,10321.0,11348.0,12359.0,1200.0,1208.0,1579.0,0
6250,40000.0,MALE,university,MARRIED,36,0,0,2,34871.0,37999.0,37089.0,3700.0,0.0,3000.0,0
11015,110000.0,MALE,graduate school,MARRIED,48,0,0,0,73472.0,75431.0,76296.0,3139.0,2529.0,2348.0,0
18976,70000.0,FEMALE,graduate school,SINGLE,28,0,0,0,21777.0,20335.0,21699.0,2000.0,2000.0,1500.0,0
25871,250000.0,FEMALE,graduate school,MARRIED,38,-1,-1,0,6352.0,6790.0,10418.0,6790.0,5418.0,7720.0,0
5989,280000.0,MALE,graduate school,MARRIED,28,1,2,0,285249.0,276229.0,277026.0,5.0,10031.0,10021.0,0
9567,10000.0,MALE,high school,MARRIED,52,1,2,0,6969.0,6712.0,7722.0,0.0,1128.0,281.0,1
6702,30000.0,FEMALE,university,MARRIED,45,0,0,0,17166.0,18578.0,20260.0,2000.0,2000.0,1000.0,0
5676,200000.0,FEMALE,university,SINGLE,28,1,-1,-1,0.0,1732.0,828.0,1732.0,828.0,0.0,0
11726,300000.0,MALE,university,SINGLE,42,-1,0,0,1188.0,3071.0,7854.0,2000.0,5000.0,5000.0,1
4015,110000.0,FEMALE,university,SINGLE,33,0,0,0,107028.0,106818.0,108730.0,4000.0,3783.0,6488.0,0
18107,300000.0,MALE,university,MARRIED,41,0,0,0,163033.0,140472.0,96234.0,5505.0,5000.0,3000.0,0
20549,30000.0,MALE,university,SINGLE,26,3,2,2,30311.0,31213.0,30425.0,1700.0,0.0,1310.0,0
15996,140000.0,FEMALE,graduate school,SINGLE,33,0,0,0,87713.0,88906.0,88736.0,5000.0,5000.0,5000.0,0
969,20000.0,FEMALE,university,MARRIED,27,0,0,0,42784.0,41009.0,44267.0,3000.0,5000.0,10000.0,0
28179,50000.0,FEMALE,high school,MARRIED,31,1,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0
22570,180000.0,MALE,graduate school,SINGLE,31,0,0,0,89903.0,66236.0,59932.0,3073.0,3010.0,2010.0,0
22523,20000.0,FEMALE,university,MARRIED,34,2,2,2,13552.0,16513.0,17549.0,3188.0,1600.0,3570.0,0
29018,180000.0,FEMALE,graduate school,MARRIED,40,1,-1,-1,0.0,319.0,0.0,319.0,0.0,0.0,1
1452,290000.0,FEMALE,graduate school,SINGLE,33,-1,-1,-1,413.0,486.0,820.0,486.0,820.0,60.0,1
12885,240000.0,FEMALE,graduate school,MARRIED,41,1,2,0,8827.0,6993.0,7094.0,0.0,1200.0,0.0,0
25694,340000.0,FEMALE,high school,MARRIED,40,0,0,0,194380.0,183139.0,179156.0,7000.0,9000.0,9000.0,0
18438,30000.0,FEMALE,high school,SINGLE,26,1,2,2,11167.0,13281.0,13773.0,2600.0,1000.0,1400.0,1
16216,50000.0,FEMALE,university,MARRIED,34,0,0,0,24636.0,25064.0,51224.0,1500.0,2300.0,2800.0,0
18205,260000.0,MALE,graduate school,SINGLE,39,0,0,0,248880.0,248758.0,245404.0,10611.0,9708.0,5929.0,0
11725,20000.0,MALE,Unknown,SINGLE,27,0,0,0,19189.0,19226.0,18371.0,1376.0,1206.0,2222.0,0
24843,380000.0,MALE,university,MARRIED,43,0,-1,-1,112118.0,96297.0,243301.0,96778.0,243301.0,21066.0,0
23272,290000.0,FEMALE,Unknown,MARRIED,49,-1,-1,-2,3950.0,0.0,0.0,0.0,0.0,1085.0,0
5419,180000.0,MALE,graduate school,MARRIED,50,0,0,0,181624.0,182765.0,180769.0,9021.0,6126.0,4856.0,0
15678,30000.0,MALE,graduate school,SINGLE,26,1,2,2,24599.0,23397.0,22721.0,1700.0,0.0,1700.0,0
27145,160000.0,MALE,Unknown,SINGLE,40,0,0,0,152240.0,152159.0,154523.0,7650.0,6300.0,4800.0,0
12304,240000.0,FEMALE,university,MARRIED,56,0,0,0,138785.0,141894.0,143270.0,6500.0,5000.0,60000.0,0
4499,320000.0,MALE,university,MARRIED,31,-1,-1,-1,6927.0,10063.0,1876.0,10063.0,1876.0,396.0,0
9030,70000.0,FEMALE,graduate school,SINGLE,24,1,2,0,71017.0,64454.0,64182.0,0.0,1809.0,2500.0,0
3521,180000.0,MALE,graduate school,MARRIED,44,1,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0
17789,140000.0,MALE,high school,MARRIED,58,2,0,0,98985.0,98702.0,96753.0,4520.0,4034.0,5050.0,0
21131,100000.0,MALE,graduate school,SINGLE,41,0,0,0,31452.0,32453.0,33490.0,1527.0,1564.0,2000.0,1
25399,300000.0,FEMALE,university,SINGLE,27,0,0,0,15024.0,12128.0,9775.0,1200.0,1164.0,1069.0,0
7769,70000.0,FEMALE,university,MARRIED,27,1,2,0,48098.0,47922.0,51806.0,881.0,4700.0,4700.0,1
18175,220000.0,MALE,university,SINGLE,39,0,0,0,103159.0,91253.0,81847.0,5000.0,3000.0,4000.0,0
13221,30000.0,MALE,university,SINGLE,25,0,0,0,19955.0,20348.0,18339.0,1338.0,1500.0,1000.0,0
3,90000.0,FEMALE,university,SINGLE,34,0,0,0,29239.0,14027.0,13559.0,1518.0,1500.0,1000.0,0
838,110000.0,FEMALE,university,MARRIED,55,0,0,0,15069.0,16123.0,16850.0,1600.0,1300.0,1000.0,0
20996,50000.0,MALE,university,MARRIED,49,1,2,2,50435.0,50936.0,49463.0,2400.0,0.0,2300.0,1
22340,270000.0,FEMALE,university,SINGLE,25,0,0,0,162905.0,156151.0,127423.0,5085.0,4795.0,4470.0,0
12260,50000.0,FEMALE,university,MARRIED,38,0,-1,-1,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0,0
287,210000.0,MALE,graduate school,SINGLE,38,2,0,0,60502.0,62804.0,62769.0,3276.0,2026.0,2000.0,0
2015,80000.0,FEMALE,university,MARRIED,27,-2,-2,-2,390.0,0.0,780.0,390.0,780.0,0.0,0
11453,50000.0,MALE,university,SINGLE,39,1,2,0,50468.0,48621.0,49987.0,0.0,2600.0,650.0,1
4845,230000.0,MALE,graduate school,SINGLE,33,0,0,0,57171.0,56150.0,57074.0,2100.0,2300.0,2000.0,0
9209,20000.0,FEMALE,university,MARRIED,41,0,0,0,7434.0,8453.0,9249.0,1300.0,3000.0,189.0,0
2320,30000.0,FEMALE,high school,3,60,-1,-1,-2,2365.0,-581.0,-581.0,0.0,0.0,0.0,0
12218,50000.0,FEMALE,university,SINGLE,37,0,0,2,49078.0,51063.0,40371.0,3800.0,0.0,805.0,0
11900,50000.0,FEMALE,high school,SINGLE,25,0,0,0,6954.0,6032.0,6529.0,2161.0,1000.0,1004.0,0
21835,140000.0,FEMALE,university,MARRIED,27,0,0,0,125792.0,126771.0,132730.0,5000.0,10000.0,5000.0,0
15837,50000.0,FEMALE,university,SINGLE,27,0,0,0,50686.0,49525.0,49603.0,1779.0,3001.0,1558.0,0
11074,100000.0,FEMALE,high school,MARRIED,39,0,0,0,4247.0,4097.0,6314.0,1283.0,2500.0,1500.0,0
1582,20000.0,MALE,high school,3,47,0,0,0,18768.0,18795.0,19390.0,1400.0,1400.0,1000.0,0
27467,250000.0,MALE,university,MARRIED,50,0,0,0,238215.0,182156.0,121786.0,9000.0,5000.0,0.0,0
18643,90000.0,FEMALE,university,SINGLE,26,0,0,0,86183.0,87561.0,92996.0,4100.0,8548.0,0.0,0
14470,190000.0,FEMALE,university,SINGLE,35,0,0,0,158360.0,113702.0,95214.0,4800.0,4300.0,3600.0,0
16893,90000.0,MALE,university,SINGLE,38,0,0,0,17621.0,18718.0,19809.0,1700.0,1700.0,1700.0,0
7608,130000.0,FEMALE,graduate school,SINGLE,27,1,-1,0,0.0,1483.0,2450.0,1483.0,1000.0,0.0,0
9091,500000.0,FEMALE,university,SINGLE,28,0,0,0,215459.0,201715.0,141177.0,7412.0,4721.0,3854.0,0
8546,50000.0,FEMALE,university,SINGLE,23,2,0,0,48537.0,30271.0,26283.0,2000.0,2000.0,1000.0,1
1841,70000.0,FEMALE,university,MARRIED,31,0,0,0,60058.0,49647.0,43968.0,1834.0,1608.0,1559.0,0
9293,140000.0,FEMALE,university,MARRIED,30,0,0,2,106298.0,111040.0,122612.0,6451.0,15000.0,1100.0,1
4564,390000.0,MALE,graduate school,MARRIED,41,-1,0,0,7445.0,14439.0,7391.0,10038.0,1036.0,952.0,0
28521,50000.0,FEMALE,university,MARRIED,47,0,0,3,9532.0,14023.0,13513.0,5000.0,0.0,1400.0,0
20483,160000.0,MALE,university,SINGLE,26,-2,-2,-2,1987.0,0.0,99500.0,0.0,99500.0,0.0,0
576,290000.0,MALE,graduate school,MARRIED,53,2,0,0,279610.0,282024.0,282508.0,13000.0,10200.0,10265.0,1
7207,450000.0,FEMALE,graduate school,MARRIED,41,-1,0,0,2663.0,3146.0,3246.0,2146.0,1623.0,0.0,0
24961,40000.0,MALE,graduate school,SINGLE,35,-2,-2,-2,0.0,2277.0,1521.0,2277.0,1521.0,0.0,0
27941,70000.0,FEMALE,graduate school,SINGLE,27,0,0,0,42825.0,47047.0,62703.0,5000.0,20000.0,10000.0,0
21329,20000.0,MALE,high school,MARRIED,51,0,0,0,14962.0,17580.0,19748.0,2890.0,2458.0,1000.0,0
13571,20000.0,FEMALE,university,SINGLE,45,0,0,-1,13521.0,4964.0,882.0,1000.0,900.0,0.0,1
23772,80000.0,FEMALE,high school,SINGLE,60,0,0,0,37298.0,19025.0,12720.0,3000.0,3000.0,2030.0,0
11746,110000.0,FEMALE,graduate school,MARRIED,37,-1,-1,0,2610.0,54223.0,57299.0,54300.0,6600.0,400.0,1
11919,90000.0,FEMALE,high school,MARRIED,44,0,0,0,94393.0,93361.0,91820.0,3820.0,3785.0,1721.0,0
22350,490000.0,FEMALE,university,SINGLE,28,0,0,0,128821.0,93626.0,52074.0,3047.0,2647.0,88595.0,0
24460,270000.0,MALE,university,SINGLE,31,0,0,2,21129.0,16616.0,16911.0,1697.0,2500.0,0.0,0
17635,80000.0,FEMALE,university,SINGLE,30,2,2,2,56761.0,58920.0,60385.0,3700.0,3000.0,6100.0,1
7755,20000.0,MALE,university,SINGLE,22,0,0,-2,13540.0,397.0,998.0,406.0,1101.0,736.0,0
4639,50000.0,MALE,graduate school,MARRIED,44,0,0,0,35145.0,36275.0,37150.0,2000.0,1871.0,0.0,0
26533,70000.0,FEMALE,university,MARRIED,62,0,0,0,57271.0,56269.0,56333.0,2857.0,2702.0,1500.0,0
26823,120000.0,MALE,university,MARRIED,29,-1,-1,2,579.0,2718.0,1280.0,3580.0,0.0,3822.0,0
3679,80000.0,FEMALE,university,SINGLE,42,0,0,0,16959.0,17910.0,14919.0,1235.0,1369.0,825.0,0
5539,30000.0,FEMALE,high school,SINGLE,48,-1,-1,-1,2946.0,0.0,390.0,0.0,390.0,390.0,1
21119,420000.0,MALE,university,MARRIED,39,-1,0,-1,22219.0,22423.0,4889.0,7573.0,4913.0,14415.0,0
331,200000.0,FEMALE,university,MARRIED,37,1,-1,2,-179.0,505.0,189.0,1000.0,0.0,6900.0,1
29798,90000.0,MALE,university,MARRIED,31,0,0,0,70329.0,69073.0,70561.0,2471.0,2600.0,2633.0,0
11798,120000.0,FEMALE,university,MARRIED,33,0,0,0,46640.0,50865.0,54401.0,5000.0,5000.0,5000.0,0
27830,360000.0,FEMALE,university,SINGLE,26,2,0,-1,2143.0,3060.0,3548.0,1000.0,3548.0,1000.0,0
